ingredient_id,name_en,name_es,category,diet,allergens,piece_grams
broccoli,Broccoli,Brócoli,vegetables,vegan,,450
cucumber,Cucumber,Pepino,vegetables,vegan,,200
lettuce,Iceberg lettuce,Lechuga iceberg,vegetables,vegan,,
salad_mix,Mixed salad bag,Ensalada mezcla,vegetables,vegan,,
mushrooms_fresh,White mushrooms,Champiñones,vegetables,vegan,,
spinach_frozen,Spinach portions (frozen),Espinacas congeladas,vegetables,vegan,,
green_beans_frozen,Green beans (frozen),Judías verdes congeladas,vegetables,vegan,,
veg_stirfry_frozen,Vegetable stir-fry mix (frozen),Salteado de verduras congelado,vegetables,vegan,,
menestra_frozen,Mixed vegetables (frozen),Menestra congelada,vegetables,vegan,,
banana,Banana,Banana,fruit,vegan,,180
apple,Red apple,Manzana roja,fruit,vegan,,190
orange,Orange,Naranja,fruit,vegan,,270
lemon,Lemon,Limón,fruit,vegan,,210
chicken_breast,Chicken breast fillets,Filetes de pechuga de pollo,meat_fish,meat,,
chicken_thighs,Boneless chicken thighs,Contramuslos de pollo deshuesados,meat_fish,meat,,
chicken_drumsticks,Chicken drumsticks,Jamoncitos de pollo,meat_fish,meat,,
minced_pork,Minced pork,Carne picada de cerdo,meat_fish,meat,sulphites,
minced_beef_pork,Minced beef and pork,Carne picada mixta,meat_fish,meat,sulphites,
minced_chicken,Minced chicken,Carne picada de pollo,meat_fish,meat,sulphites,
sausages,Chicken sausages,Salchichas de pollo,meat_fish,meat,"milk,soy",
bacon,Bacon strips,Bacón en cintas,meat_fish,meat,,
chorizo,Sliced chorizo,Chorizo en lonchas,meat_fish,meat,milk,
ham,Cooked ham slices,Jamón cocido,meat_fish,meat,,
tuna_oil,Tuna in sunflower oil,Atún claro en aceite de girasol,meat_fish,fish,fish,
salmon_frozen,Salmon medallions (frozen),Medallones de salmón congelados,meat_fish,fish,fish,
