ingredient_id,name_en,name_es,category,diet,allergens,piece_grams,package_price_eur,package_size,package_unit,supermarket,zone,sku,product_name,captured_at,product_url
yogurt,Plain yogurt,Yogur natural,dairy_eggs,vegetarian,milk,,1.39,1.0,kg,dia,es-default,272536,Yogur natural Dia Láctea 8 x 125 g,2026-09-21,https://www.dia.es/yogures-y-postres/yogures-naturales-y-desnatados/p/272536
grated_cheese,Grated cheese,Queso rallado,dairy_eggs,vegetarian,milk,,1.65,0.2,kg,dia,es-default,20423,Queso rallado para gratinar Dia Láctea 200 g,2026-09-21,https://www.dia.es/quesos/rallado/p/20423
mozzarella,Fresh mozzarella,Mozzarella fresca,dairy_eggs,vegetarian,milk,,0.9,0.12,kg,dia,es-default,108698,Mozzarella fior di latte Dia Selección Mundial 125 g,2026-09-21,https://www.dia.es/quesos/fresco/p/108698
cheese_slices,Cheese slices,Queso en lonchas,dairy_eggs,vegetarian,milk,,0.88,0.16,kg,dia,es-default,302962,Queso sándwich Dia Láctea 160 g,2026-09-21,https://www.dia.es/quesos/en-lonchas/p/302962
fresh_cheese,Fresh Burgos cheese,Queso fresco,dairy_eggs,vegetarian,milk,,1.15,0.25,kg,dia,es-default,115669,Queso fresco de Burgos Dia Láctea 4 x 62.5 g,2026-09-21,https://www.dia.es/quesos/fresco/p/115669
cooking_cream,Cooking cream,Nata para cocinar,dairy_eggs,vegetarian,milk,,1.55,0.5,l,dia,es-default,294393,Nata para cocinar textura espesa Dia Láctea 500 ml,2026-09-21,https://www.dia.es/huevos-leche-y-mantequilla/nata/p/294393
soy_drink,Soy drink,Bebida de soja,dairy_eggs,vegan,soy,,0.75,1.0,l,dia,es-default,294323,Bebida de soja 0% azúcares Dia Vegedia 1 L,2026-09-21,https://www.dia.es/huevos-leche-y-mantequilla/bebidas-vegetales-y-horchatas/p/294323
oat_drink,Oat drink,Bebida de avena,dairy_eggs,vegan,gluten,,0.75,1.0,l,dia,es-default,267682,Bebida de avena Dia Vegedia 1 L,2026-09-21,https://www.dia.es/huevos-leche-y-mantequilla/bebidas-vegetales-y-horchatas/p/267682
crushed_tomato,Crushed tomato (can),Tomate triturado,pantry,vegan,,,0.55,0.4,kg,dia,es-default,326,Tomate triturado Dia Vegecampo 400 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/salsas-de-tomate-y-pasta/p/326
chopped_tomato,Chopped peeled tomato (can),Tomate troceado,pantry,vegan,,,0.68,0.4,kg,dia,es-default,10687,Tomate troceado Dia Vegecampo 400 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/salsas-de-tomate-y-pasta/p/10687
tomato_frito,Tomato sauce (tomate frito),Tomate frito,pantry,vegan,,,0.89,0.55,kg,dia,es-default,10677,Tomate frito Dia Vegecampo 550 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/salsas-de-tomate-y-pasta/p/10677
sweetcorn,Sweetcorn (can),Maíz dulce,pantry,vegan,,,0.99,0.29,kg,dia,es-default,1250,Maíz dulce Dia Vegecampo 285 g,2026-09-21,https://www.dia.es/conservas-caldos-y-cremas/conservas-de-verdura/p/1250
peas_canned,Peas (jar),Guisantes,pantry,vegan,,,0.95,0.25,kg,dia,es-default,46586,Guisantes muy finos Dia Vegecampo 250 g,2026-09-21,https://www.dia.es/conservas-caldos-y-cremas/conservas-de-verdura/p/46586
mushrooms_canned,Sliced mushrooms (can),Champiñones laminados en conserva,pantry,vegan,,,1.0,0.18,kg,dia,es-default,1666,Champiñones laminados Dia Vegecampo 185 g,2026-09-21,https://www.dia.es/conservas-caldos-y-cremas/conservas-de-verdura/p/1666
olives_black,Pitted black olives,Aceitunas negras sin hueso,pantry,vegan,,,1.05,0.15,kg,dia,es-default,142058,Aceitunas negras sin hueso Dia Vegecampo 150 g,2026-09-21,https://www.dia.es/aperitivos-y-frutos-secos/aceitunas/p/142058
chicken_stock,Chicken stock,Caldo de pollo,pantry,meat,celery,,0.75,1.0,l,dia,es-default,54127,Caldo de pollo Dia Al Punto 1 L,2026-09-21,https://www.dia.es/conservas-caldos-y-cremas/caldos-y-sopas/p/54127
mayonnaise,Mayonnaise,Mayonesa,pantry,vegetarian,egg,,1.39,0.45,l,dia,es-default,53720,Mayonesa Dia Salseo 450 ml,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/ketchup-mayonesa-y-mostaza/p/53720
soy_sauce,Soy sauce,Salsa de soja,pantry,vegan,"soy,gluten",,1.2,0.25,l,dia,es-default,287019,Salsa de soja Dia Salseo 250 ml,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/salsas-especiales-y-picantes/p/287019
olive_oil,Olive oil,Aceite de oliva,pantry,vegan,,,3.7,1.0,l,dia,es-default,104,Aceite de oliva suave Dia La Almazara del Olivar 1 L,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/aceites/p/104
sunflower_oil,Sunflower oil,Aceite de girasol,pantry,vegan,,,1.85,1.0,l,dia,es-default,101,Aceite refinado de girasol Diasol 1 L,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/aceites/p/101
vinegar,White wine vinegar,Vinagre de vino blanco,pantry,vegan,sulphites,,0.65,1.0,l,dia,es-default,422,Vinagre de vino blanco Aliña tu Dia 1 L,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/422
salt,Fine salt,Sal fina,pantry,vegan,,,0.4,1.0,kg,dia,es-default,419,Sal fina Dia 1 Kg,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/ajo-sal-y-pimienta/p/419
sugar,White sugar,Azúcar blanco,pantry,vegan,,,0.9,1.0,kg,dia,es-default,81798,Azúcar blanco Dia 1 Kg,2026-09-21,https://www.dia.es/bolleria-reposteria-y-azucar/azucar-miel-y-edulcorantes/p/81798
black_pepper,Ground black pepper,Pimienta negra molida,spices,vegan,,,1.19,0.065,kg,dia,es-default,299147,Pimienta negra molida Dia Vegecampo 65 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/ajo-sal-y-pimienta/p/299147
paprika,Sweet paprika,Pimentón dulce,spices,vegan,,,0.99,0.058,kg,dia,es-default,297208,Pimentón dulce Dia Vegecampo 58 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/especias-y-hierbas/p/297208
oregano,Oregano,Orégano,spices,vegan,,,0.6,0.015,kg,dia,es-default,1293,Orégano Dia Vegecampo 15 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/especias-y-hierbas/p/1293
cumin,Ground cumin,Comino molido,spices,vegan,,,1.15,0.06,kg,dia,es-default,299132,Comino molido Dia Vegecampo 60 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/especias-y-hierbas/p/299132
curry,Curry powder,Curry,spices,vegan,mustard,,1.06,0.055,kg,dia,es-default,299133,Curry Dia Vegecampo 55 g,2026-09-21,https://www.dia.es/aceites-salsas-y-especias/especias-y-hierbas/p/299133
garlic,Garlic,Ajos,vegetables,vegan,,50,1.85,0.25,kg,dia,es-default,17653,Ajos malla 250 g,2026-09-21,https://www.dia.es/verduras/ajos-cebollas-y-puerros/p/17653
garlic_frozen,Chopped garlic (frozen),Ajo troceado congelado,vegetables,vegan,,,0.95,0.15,kg,dia,es-default,253954,Ajo troceado Dia Vegecampo 150 g,2026-09-21,https://www.dia.es/congelados-y-helados/verduras-y-patatas/p/253954
onions,Onions,Cebollas,vegetables,vegan,,150,1.0,1.0,kg,dia,es-default,11459,Cebolla malla 1 kg,2026-09-21,https://www.dia.es/verduras/ajos-cebollas-y-puerros/p/11459
onion_frozen,Chopped onion (frozen),Cebolla troceada congelada,vegetables,vegan,,,0.84,0.4,kg,dia,es-default,51713,Cebolla troceada Dia Vegecampo 400 g,2026-09-21,https://www.dia.es/congelados-y-helados/verduras-y-patatas/p/51713
potato,Potato,Patata,vegetables,vegan,,260,1.89,1.0,kg,dia,es-default,5631,Patatas granel 1 Kg aprox.,2026-09-21,https://www.dia.es/verduras/patatas-y-zanahorias/p/5631
carrots,Carrots,Zanahorias,vegetables,vegan,,80,0.89,1.0,kg,dia,es-default,11421,Zanahoria 1 Kg,2026-09-21,https://www.dia.es/verduras/patatas-y-zanahorias/p/11421
tomato,Plum tomato,Tomate pera,vegetables,vegan,,140,1.89,0.5,kg,dia,es-default,191011,Tomate pera bandeja 500 g,2026-09-21,https://www.dia.es/verduras/tomates-pimientos-y-pepinos/p/191011
pepper_red,Red pepper,Pimiento rojo,vegetables,vegan,,280,1.4,0.35,kg,dia,es-default,74,Pimiento rojo unidad 350 g aprox.,2026-09-21,https://www.dia.es/verduras/tomates-pimientos-y-pepinos/p/74
pepper_green,Green pepper,Pimiento verde,vegetables,vegan,,260,1.35,0.5,kg,dia,es-default,116,Pimiento verde freír granel 500 g aprox.,2026-09-21,https://www.dia.es/verduras/tomates-pimientos-y-pepinos/p/116
zucchini,Zucchini,Calabacín,vegetables,vegan,,380,1.23,0.65,kg,dia,es-default,93,Calabacín unidad 650 g aprox.,2026-09-21,https://www.dia.es/verduras/calabacin-calabaza-y-berenjena/p/93
eggplant,Eggplant,Berenjena,vegetables,vegan,,380,0.5,0.3,kg,dia,es-default,190830,Berenjena unidad,2026-09-21,https://www.dia.es/verduras/calabacin-calabaza-y-berenjena/p/190830
broccoli,Broccoli,Brócoli,vegetables,vegan,,450,1.99,0.5,kg,dia,es-default,20002,Brócoli 500 g,2026-09-21,https://www.dia.es/verduras/brocoli-coliflor-y-judias-verdes/p/20002
cucumber,Cucumber,Pepino,vegetables,vegan,,200,0.79,0.35,kg,dia,es-default,1015,Pepino holandés 1 unidad,2026-09-21,https://www.dia.es/verduras/tomates-pimientos-y-pepinos/p/1015
lettuce,Iceberg lettuce,Lechuga iceberg,vegetables,vegan,,,1.05,1.0,ud,dia,es-default,11462,Lechuga iceberg unidad,2026-09-21,https://www.dia.es/verduras/lechugas-y-hojas-verdes/p/11462
salad_mix,Mixed salad bag,Ensalada mezcla,vegetables,vegan,,,0.99,0.2,kg,dia,es-default,105299,Ensalada 4 estaciones Dia Vegecampo 200 g,2026-09-21,https://www.dia.es/verduras/lechugas-y-hojas-verdes/p/105299
mushrooms_fresh,White mushrooms,Champiñones,vegetables,vegan,,,1.49,0.25,kg,dia,es-default,271527,Champiñón entero bandeja 250 g,2026-09-21,https://www.dia.es/verduras/setas-y-champinones/p/271527
spinach_frozen,Spinach portions (frozen),Espinacas congeladas,vegetables,vegan,,,0.99,0.45,kg,dia,es-default,263820,Espinacas cortadas Dia Vegecampo 450 g,2026-09-21,https://www.dia.es/congelados-y-helados/verduras-y-patatas/p/263820
green_beans_frozen,Green beans (frozen),Judías verdes congeladas,vegetables,vegan,,,1.3,1.0,kg,dia,es-default,263267,Judías verdes planas Dia Vegecampo 1 Kg,2026-09-21,https://www.dia.es/congelados-y-helados/verduras-y-patatas/p/263267
veg_stirfry_frozen,Vegetable stir-fry mix (frozen),Salteado de verduras congelado,vegetables,vegan,,,0.99,0.4,kg,dia,es-default,267132,Salteado de verduras Dia Al Punto 400 g,2026-09-21,https://www.dia.es/congelados-y-helados/verduras-y-patatas/p/267132
menestra_frozen,Mixed vegetables (frozen),Menestra congelada,vegetables,vegan,,,1.75,1.0,kg,dia,es-default,1389,Menestra de verduras Dia Vegecampo 1 Kg,2026-09-21,https://www.dia.es/congelados-y-helados/verduras-y-patatas/p/1389
banana,Banana,Banana,fruit,vegan,,180,1.35,0.9,kg,dia,es-default,42070,Banana granel 900 g aprox.,2026-09-21,https://www.dia.es/frutas/platanos-y-bananas/p/42070
apple,Red apple,Manzana roja,fruit,vegan,,190,1.39,1.0,kg,dia,es-default,11466,Manzana roja dulce 1 Kg,2026-09-21,https://www.dia.es/frutas/manzanas-y-peras/p/11466
orange,Orange,Naranja,fruit,vegan,,270,2.49,1.0,kg,dia,es-default,175058,Naranja selección granel 1 Kg aprox.,2026-09-21,https://www.dia.es/frutas/naranjas-mandarinas-y-limones/p/175058
lemon,Lemon,Limón,fruit,vegan,,210,1.99,0.75,kg,dia,es-default,11463,Limones malla 750 g,2026-09-21,https://www.dia.es/frutas/naranjas-mandarinas-y-limones/p/11463
chicken_breast,Chicken breast fillets,Filetes de pechuga de pollo,meat_fish,meat,,,5.19,0.65,kg,dia,es-default,21977,Pechugas fileteadas Selección de Dia bandeja 650 g aprox.,2026-09-21,https://www.dia.es/carnes/pollo/p/21977
chicken_thighs,Boneless chicken thighs,Contramuslos de pollo deshuesados,meat_fish,meat,,,4.19,0.6,kg,dia,es-default,41736,Filetes de contramuslo de pollo Selección de Dia 600 g aprox.,2026-09-21,https://www.dia.es/carnes/pollo/p/41736
chicken_drumsticks,Chicken drumsticks,Jamoncitos de pollo,meat_fish,meat,,,3.79,1.0,kg,dia,es-default,4211,Jamoncitos de pollo Selección de Dia 1 Kg aprox.,2026-09-21,https://www.dia.es/carnes/pollo/p/4211
minced_pork,Minced pork,Carne picada de cerdo,meat_fish,meat,sulphites,,2.79,0.5,kg,dia,es-default,261238,Carne picada de cerdo Selección de Dia 500 g,2026-09-21,https://www.dia.es/carnes/hamburguesas-carne-picada-y-albondigas/p/261238
minced_beef_pork,Minced beef and pork,Carne picada mixta,meat_fish,meat,sulphites,,4.19,0.5,kg,dia,es-default,261241,Carne picada de vacuno y cerdo Selección de Dia 500 g,2026-09-21,https://www.dia.es/carnes/hamburguesas-carne-picada-y-albondigas/p/261241
minced_chicken,Minced chicken,Carne picada de pollo,meat_fish,meat,sulphites,,2.99,0.37,kg,dia,es-default,291140,Carne picada de pollo Selección de Dia 365 g,2026-09-21,https://www.dia.es/carnes/hamburguesas-carne-picada-y-albondigas/p/291140
sausages,Chicken sausages,Salchichas de pollo,meat_fish,meat,"milk,soy",,0.79,0.2,kg,dia,es-default,303888,Salchichas viena de pollo Dia Funky Frank 200 g,2026-09-21,https://www.dia.es/charcuteria/salchichas/p/303888
bacon,Bacon strips,Bacón en cintas,meat_fish,meat,,,1.5,0.2,kg,dia,es-default,273750,Bacon en tiras Dia Nuestra Alacena 2 x 100 g,2026-09-21,https://www.dia.es/charcuteria/bacon/p/273750
chorizo,Sliced chorizo,Chorizo en lonchas,meat_fish,meat,milk,,1.69,0.2,kg,dia,es-default,273988,Chorizo extra Dia Nuestra Alacena 2 x 100 g,2026-09-21,https://www.dia.es/charcuteria/lomo-y-chorizo/p/273988
ham,Cooked ham slices,Jamón cocido,meat_fish,meat,,,1.8,0.18,kg,dia,es-default,305619,Jamón cocido extra Dia Nuestra Alacena 180 g,2026-09-21,https://www.dia.es/charcuteria/jamon-cocido/p/305619
tuna_oil,Tuna in sunflower oil,Atún claro en aceite de girasol,meat_fish,fish,fish,,2.19,0.16,kg,dia,es-default,262429,Atún en aceite de girasol Dia Mari Marinera 3 x 52 g,2026-09-21,https://www.dia.es/conservas-caldos-y-cremas/atun-y-bonito/p/262429
salmon_frozen,Salmon medallions (frozen),Medallones de salmón congelados,meat_fish,fish,fish,,5.89,0.25,kg,dia,es-default,274390,Lomos de salmón Dia Selección Mundial 250 g,2026-09-21,https://www.dia.es/pescados-y-mariscos/congelado/p/274390
